GAME,RADIANT,RADIANT_KILLS,RADIANT_DEATHS,RADIANT_ASSISTS,HEROES,RADIANT_DAMAGE,DIRE,DIRE_KILLS,DIRE_DEATHS,DIRE_ASSISTS,DIRE_DAMAGE,WINNING_PLAYERS
,Nixnala,1,12,9,centaur,11451,tpham,6,5,7,14288,Nixnala
,Miyuki,4,6,8,rubick,10450,Remia,8,12,13,17611,Miyuki
,Winner: ,Radiant,,,,,,,,,,
65,geese,7,13,24,mirana,16813,Yoshioka,18,5,11,51983,geese
,dream,22,6,9,pa,52746,Bsu,15,4,16,71081,dream
,Remia,16,6,15,bb,60240,Monta,2,12,20,19122,Remia
,tpham,5,4,36,hoodwink,32761,Nixnala,3,19,16,21647,tpham
,Lester,5,11,19,mars,25124,Lostwhale,1,16,17,16584,Lester
,Winner: ,Radiant,,,,,,,,,,
66,dream,7,5,4,mk,21151,Yoshioka,7,1,16,27316,Yoshioka
,Monta,8,6,5,brew,12213,Nixnala,6,5,7,21623,Nixnala
,Lostwhale,0,8,15,ogre,13929,geese,9,9,20,18308,geese
,Bsu,1,7,3,arc,13699,Remia,8,2,8,32916,Remia
,pain peko,3,9,11,mirana,13554,tpham,5,3,20,25857,tpham
,Winner: ,Dire,,,,,,,,,,
67,Remia,9,6,13,naix,32472,tpham,11,3,13,13767,tpham
,Lostwhale,7,8,15,aa,29651,Bsu,12,5,11,43604,Bsu
,pain peko,5,14,15,grim,17387,Nixnala,3,10,16,86979,Nixnala
,Yoshioka,9,5,19,bb,36786,Monta,8,6,21,52177,Monta
,dream,6,7,22,doom,20485,geese,6,12,24,35959,geese
,Winner: ,Dire,,,,,,,,,,
68,Yoshioka,5,1,30,mirana,37068,Miyuki,5,14,8,11547,Yoshioka
,pain peko,5,5,31,jakiro,18802,dream,3,7,6,18075,pain peko
,LISA,9,4,30,sk,21157,Remia,6,8,6,57130,LISA
,Paper,8,3,26,wd,12240,Nixnala,9,13,1,22936,Paper
,Bsu,30,6,8,ursa,50086,Lostwhale,2,16,8,12032,Bsu
,Winner: ,Radiant,,,,,,,,,,
69,pain peko,9,2,14,oracle,9861,Remia,1,5,6,13177,pain peko
,Nixnala,1,5,15,mars,11287,Monta,1,12,2,4939,Nixnala
,Bsu,5,1,12,invoker,16226,Yoshioka,2,2,2,13083,Bsu
,dream,13,0,8,pa,18107,Miyuki,4,4,4,7701,dream
,Paper,2,3,6,lina,10346,LISA,3,8,3,8396,Paper
,Winner: ,Radiant,,,,,,,,,,
70,Monta,5,3,16,brew,14038,Paper,5,3,16,14503,Monta
,geese,4,7,13,shaman,11592,Remia,11,4,12,25346,geese
,pain peko,5,6,11,jakiro,15699,dream,5,6,15,17024,pain peko
,Bsu,10,2,8,wr,30350,Kana,3,7,6,8932,Bsu
,Nixnala,4,9,13,centaur,24879,Yoshioka,7,4,9,22188,Nixnala
,Winner: ,Radiant,,,,,,,,,,
71,Bsu,6,2,12,wk,17074,Yoshioka,4,4,5,12513,Bsu
,Nixnala,8,4,16,underlord,25216,Kana,4,4,5,20578,Nixnala
,pain peko,6,6,17,grim,15254,Monta,5,7,11,15933,pain peko
,dream,8,3,9,timber,19217,Remia,9,8,10,22311,dream
,Polar,5,8,16,ogre,15273,Paper,0,10,5,12622,Polar
,Winner: ,Radiant,,,,,,,,,,
72,Yoshioka,14,9,23,lesh,92182,Bsu,19,3,26,122978,Yoshioka
,Monta,4,13,25,centaur,23905,Kana,16,9,17,63095,Monta
,dream,12,6,22,drow,102356,Paper,0,14,23,9376,dream
,Remia,11,11,21,pudge,31264,pain peko,5,12,35,80434,Remia
,Nixnala,5,13,29,aa,48629,Monta,12,9,24,48193,Nixnala
,Winner: ,Radiant,,,,,,,,,,
73,Bsu,12,0,13,mirana,23618,Happynut,2,13,2,7220,Bsu
,nanoir,6,3,19,cm,12643,Lostwhale,2,10,4,9991,nanoir
,Yoshioka,11,2,12,pango,18172,Remia,2,7,1,13250,Yoshioka
,tpham,5,5,21,silencer,14027,Monta,3,6,7,20423,tpham
,Jeleto,8,3,15,dawnbreaker,16958,pain peko,4,6,5,8517,Jeleto
,Winner: ,Radiant,,,,,,,,,,
74,Bsu,1,11,2,rubick,8370,Bsu,12,0,13,37841,Bsu
,Jeleto,1,11,3,axe,8609,nanoir,3,4,7,6430,nanoir
,pain peko,4,5,3,ww,10064,Yoshioka,7,1,16,12590,Yoshioka
,Monta,2,4,3,beast,21524,tpham,8,2,8,13515,tpham
,Remia,2,2,3,pl,9609,Lostwhale,3,3,15,8470,Lostwhale
,Winner: ,Dire,,,,,,,,,,
